,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),11.4730828354096,0.0960102401444915,119.498532845487,9.84850261988397e-309
lava_jatoS,-0.334897940443923,0.0915284154570565,-3.65895048845297,0.000288159713528491
